Task,Timing,Relationship_Status,Holiday,MH,COMM,MEDIA,NATURE,SEEK,MAINT,GROW,NEW,PHYS,CREATE,LEARN,VOLUNT
Call or text a friend or family member,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Send a thoughtful message to someone you appreciate,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
"Compliment a friend, family member, or coworker",Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Ask a close friend or family member how they're really doing,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
"Invite someone for coffee, lunch, or a casual hangout",Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Check in with a neighbor or acquaintance,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Send an encouraging text to someone going through a challenge,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Reach out to someone you haven't talked to in a while,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Express appreciation to a family member or friend,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Join a group chat or online community around shared interests,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Smile and greet five people with genuine warmth,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Listen actively to someone without planning your response,Daily,All,,1,1,0,0,0,0,0,0,0,0,0,0
Share a personal update or story with someone you trust,Daily,All,,1,1,0,0,0,0,0,0,0,0,0,0
Invite family to a meal together,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Organize a group activity or outing via text or message,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Say hello to a coworker you don't usually interact with,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
Text three people you care about just to say hello,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,0
"Host a dinner, potluck, or casual meal gathering",Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
Organize a game night or board game gathering with friends,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
"Attend a local community event, meetup, or group gathering",Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
"Host a book club, discussion, or movie watch party",Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
"Plan a group outing (hike, picnic, movie, restaurant)",Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
Attend or volunteer at a community event or festival,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,1
Visit a friend or family member in person,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Start or join a hobby club or group activity,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
Participate in a group fitness class or sports activity,Weekly,All,,0,1,0,0,0,0,0,0,1,0,0,0
Attend a cultural or social gathering,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
