Exercise Name,Primary Muscle,Secondary Muscles,Exercise Type,Equipment,Difficulty,Movement Pattern,Superset Type,HIIT Compatible,Workout Type,Progression,Strength,Hypertrophy,Endurance
Back Squat,Quads,"Glutes, Hamstrings, Core",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,"Full Body Strength, Lower Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
Barbell Bench Press,Chest,"Front Delts, Triceps",Compound,Barbell,Beginner,Upper Push,Agonist-Antagonist,No,"Full Body Strength, Upper Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
Barbell Bent-Over Row,Lats,"Biceps, Lower Back, Core",Compound,Barbell,Intermediate,Upper Pull,Agonist-Antagonist,No,"Full Body Strength, Upper Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
Barbell Deadlift,Hamstrings,"Glutes, Lower Back, Quads",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,"Full Body Strength, Lower Body Strength, Push/Pull/Legs",Progressive Overload,5,8,15
Barbell Front Squat,Quads,"Core, Glutes, Upper Back",Compound,Barbell,Advanced,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
Barbell Overhead Press,Delts,"Triceps, Chest, Core",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
Barbell Squat (High Bar),Quads,"Glutes, Hamstrings, Core, Upper Back",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,6,10,15
Barbell Romanian Deadlift,Hamstrings,"Glutes, Lower Back",Compound,Barbell,Intermediate,Lower Back,Agonist-Antagonist,No,"Lower Body Strength, Push/Pull/Legs",Progressive Overload,5,8,15
Barbell Incline Bench Press,Chest,"Front Delts, Triceps",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
Barbell Decline Bench Press,Chest,"Front Delts, Triceps",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Barbell Sumo Deadlift,Hamstrings,"Glutes, Quads, Lower Back, Adductors",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,5,8,15
Barbell Good Morning,Glutes,"Hamstrings, Lower Back, Core",Compound,Barbell,Intermediate,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Barbell Shrug,Traps,Upper Back,Compound,Barbell,Beginner,Upper Back,Same Muscle,No,Upper Body Strength,Progressive Overload,6,10,15
Barbell Bicep Curl,Biceps,"Front Delts, Forearms",Isolation,Barbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Barbell Close Grip Bench Press,Triceps,"Chest, Front Delts",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Barbell Upright Row,Traps,"Delts, Biceps",Compound,Barbell,Beginner,Upper Pull,Same Muscle,No,Upper Body Strength,Progressive Overload,6,10,15
Barbell High Pull,Traps,"Delts, Hamstrings",Compound,Barbell,Advanced,Upper Pull,Agonist-Antagonist,Yes,"Cardio, HIIT",Power Development,6,8,12
Barbell Clean,Hamstrings,"Glutes, Delts, Core, Traps",Compound,Barbell,Advanced,Full Body,Agonist-Antagonist,No,Full Body Strength,Progressive Overload,3,6,12
Barbell Snatch,Hamstrings,"Glutes, Delts, Core, Traps",Compound,Barbell,Advanced,Full Body,Agonist-Antagonist,No,Full Body Strength,Progressive Overload,3,6,12
Barbell Thruster,Quads,"Glutes, Delts, Triceps, Core",Compound,Barbell,Advanced,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT",Power Development,6,10,15
Barbell Pendulum Squat,Quads,"Glutes, Hamstrings",Compound,Barbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Barbell Belt Squat,Quads,"Glutes, Hamstrings, Core",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Barbell Trap Bar Deadlift,Hamstrings,"Glutes, Quads, Lower Back",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,5,8,15
Barbell Paused Bench Press,Chest,"Front Delts, Triceps",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Barbell Push Press,Delts,"Triceps, Chest, Core",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Barbell Box Squat,Quads,"Glutes, Hamstrings, Core",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Barbell Hack Squat,Quads,"Glutes, Hamstrings",Compound,Barbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Dumbbell Bench Press,Chest,"Front Delts, Triceps",Compound,Dumbbell,Beginner,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
Dumbbell Incline Bench Press,Chest,"Front Delts, Triceps",Compound,Dumbbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Dumbbell Decline Bench Press,Chest,"Front Delts, Triceps",Compound,Dumbbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Dumbbell Fly,Chest,Front Delts,Isolation,Dumbbell,Intermediate,Upper Push,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Pullover,Chest,"Lats, Triceps",Isolation,Dumbbell,Intermediate,Upper Pull,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Bent-Over Row,Lats,"Biceps, Core",Compound,Dumbbell,Beginner,Upper Pull,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
Dumbbell Single-Arm Row,Lats,"Biceps, Core, Obliques",Compound,Dumbbell,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Dumbbell Pendlay Row,Lats,"Biceps, Core",Compound,Dumbbell,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Dumbbell Renegade Row,Core,"Lats, Triceps, Shoulders",Compound,Dumbbell,Advanced,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT",Progressive Overload,6,10,15
Dumbbell Bicep Curl,Biceps,"Front Delts, Forearms",Isolation,Dumbbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
