Exercise Name,Primary Muscle,Secondary Muscles,Exercise Type,Equipment,Difficulty,Movement Pattern,Superset Type,HIIT Compatible,Workout Type,Progression,Strength,Hypertrophy,Endurance
Back Squat,Quads,"Glutes, Hamstrings, Core",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,"Full Body Strength, Lower Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
"Bench Press, Barbell",Chest,"Front Delts, Triceps",Compound,Barbell,Beginner,Upper Push,Agonist-Antagonist,No,"Full Body Strength, Upper Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
"Bent-Over Row, Barbell",Lats,"Biceps, Lower Back, Core",Compound,Barbell,Intermediate,Upper Pull,Agonist-Antagonist,No,"Full Body Strength, Upper Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
"Deadlift, Barbell",Hamstrings,"Glutes, Lower Back, Quads",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,"Full Body Strength, Lower Body Strength, Push/Pull/Legs",Progressive Overload,5,8,15
"Front Squat, Barbell",Quads,"Core, Glutes, Upper Back",Compound,Barbell,Advanced,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
"Overhead Press, Barbell",Delts,"Triceps, Chest, Core",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
"Squat (High Bar), Barbell",Quads,"Glutes, Hamstrings, Core, Upper Back",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,6,10,15
"Romanian Deadlift, Barbell",Hamstrings,"Glutes, Lower Back",Compound,Barbell,Intermediate,Lower Back,Agonist-Antagonist,No,"Lower Body Strength, Push/Pull/Legs",Progressive Overload,5,8,15
"Incline Bench Press, Barbell",Chest,"Front Delts, Triceps",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Push/Pull/Legs",Progressive Overload,6,10,15
"Decline Bench Press, Barbell",Chest,"Front Delts, Triceps",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Sumo Deadlift, Barbell",Hamstrings,"Glutes, Quads, Lower Back, Adductors",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,5,8,15
"Good Morning, Barbell",Glutes,"Hamstrings, Lower Back, Core",Compound,Barbell,Intermediate,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Shrug, Barbell",Traps,Upper Back,Compound,Barbell,Beginner,Upper Back,Same Muscle,No,Upper Body Strength,Progressive Overload,6,10,15
"Bicep Curl, Barbell",Biceps,"Front Delts, Forearms",Isolation,Barbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Close Grip Bench Press, Barbell",Triceps,"Chest, Front Delts",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
