Workout Type,Schedule,Grouping,Exercise Name,Muscle Group,Type,Sets,Reps/Duration,Rest,Focus
Chest & Back,Monday,Superset 1,Barbell Bench Press,Upper Body - Chest,Compound,4,8,2-3 min,Heavy strength
Chest & Back,Monday,Superset 1,Seated Cable Row,Upper Body - Back,Compound,4,10,Minimal,Heavy strength
Chest & Back,Monday,Superset 2,Incline Dumbbell Bench Press,Upper Body - Chest,Compound,3,10,30-60 sec,Hypertrophy
Chest & Back,Monday,Superset 2,Lat Pulldown,Upper Body - Back,Compound,3,12,Minimal,Hypertrophy
Chest & Back,Monday,Superset 3 (Triset),Dumbbell Shoulder Press,Upper Body - Shoulders,Compound,3,10,30 sec,Accessory
Chest & Back,Monday,Superset 3 (Triset),Barbell Curls,Upper Body - Biceps,Isolation,3,10,30 sec,Accessory
Chest & Back,Monday,Superset 3 (Triset),Tricep Rope Pushdown,Upper Body - Triceps,Isolation,3,12,Minimal,Accessory
Chest & Back,Monday,Accessory,Dumbbell Flyes,Upper Body - Chest,Isolation,3,12,30 sec,Chest finisher
Chest & Back,Monday,Accessory,Reverse Pec Deck Fly,Upper Body - Shoulders,Isolation,3,12,30 sec,Back finisher
Shoulders & Arms,Wednesday,Superset 1,Dumbbell Shoulder Press,Upper Body - Shoulders,Compound,4,8,2 min,Heavy strength
Shoulders & Arms,Wednesday,Superset 1,Barbell Curls,Upper Body - Biceps,Compound,4,10,Minimal,Heavy strength
Shoulders & Arms,Wednesday,Superset 2,Dumbbell Lateral Raises,Upper Body - Shoulders,Isolation,3,12,45 sec,Hypertrophy
Shoulders & Arms,Wednesday,Superset 2,Dumbbell Hammer Curls,Upper Body - Biceps,Isolation,3,12,Minimal,Hypertrophy
Shoulders & Arms,Wednesday,Superset 3 (Triset),Reverse Pec Deck Fly,Upper Body - Shoulders,Isolation,3,15,30 sec,Shoulder finisher
Shoulders & Arms,Wednesday,Superset 3 (Triset),EZ Bar Skull Crushers,Upper Body - Triceps,Compound,3,10,30 sec,Tricep work
Shoulders & Arms,Wednesday,Superset 3 (Triset),Cable Tricep Kickback,Upper Body - Triceps,Isolation,3,15,Minimal,Tricep finisher
Shoulders & Arms,Wednesday,Accessory,Dumbbell Shrugs,Upper Body - Shoulders,Isolation,3,12,30 sec,Trap work
