Pose Name,Sanskrit,Primary Muscles,Secondary Muscles,Yoga Type,Hold Duration (seconds),Benefits,Level,Category,Session Type,Props Needed
Downward-Facing Dog,Adho Mukha Svanasana,"Shoulders, Lats, Hamstrings","Core, Chest, Hip Flexors",Power Yoga,45,"Full-body stretch, inversion, core engagement",Beginner,Standing,"Power Yoga, Full Body",None
Plank Pose,Phalakasana,"Core, Shoulders, Triceps","Chest, Quads, Back",Power Yoga,45,"Core strength, shoulder stability",Beginner,Core,"Power Yoga, Core Strength, HIIT",None
Side Plank,Vasisthasana,"Obliques, Shoulders, Hip Abductors","Core, Quads, Lats",Power Yoga,25,"Lateral core strength, shoulder stabilization",Intermediate,Core,"Power Yoga, Core Strength",None
Upward-Facing Dog,Urdhva Mukha Svanasana,"Chest, Shoulders, Triceps","Abs, Hip Flexors, Back",Power Yoga,22,"Chest opening, core engagement, backbend",Intermediate,Backbend,"Power Yoga, Flexibility",None
Warrior I,Virabhadrasana I,"Glutes, Quads, Hip Flexors","Core, Shoulders, Chest",Power Yoga,45,"Lower body strength, hip flexibility, core",Beginner,Standing,"Power Yoga, Full Body",None
Warrior II,Virabhadrasana II,"Glutes, Quads, Hip Abductors","Core, Shoulders, Back",Power Yoga,45,"Leg strength, hip opening, balance",Beginner,Standing,"Power Yoga, Full Body",None
Warrior III,Virabhadrasana III,"Glutes, Back, Hip Extensors","Quads, Hamstrings, Core, Shoulders",Power Yoga,25,"Balance, glute activation, core stability",Intermediate,Balance,"Power Yoga, Balance",None
Extended Triangle,Utthita Trikonasana,"Hamstrings, Hip Adductors","Glutes, Obliques, Shoulders",Power Yoga,37,"Hamstring/hip flexibility, spinal rotation",Beginner,Standing,"Power Yoga, Flexibility, Full Body",Block (optional)
Extended Side Angle,Utthita Parsvakonasana,"Glutes, Quads, Hip Abductors","Obliques, Shoulders, Chest",Power Yoga,37,"Hip opening, lateral core, shoulder mobility",Intermediate,Standing,"Power Yoga, Flexibility",Block (optional)
Chair Pose,Utkatasana,"Glutes, Quads, Hip Flexors","Core, Shoulders, Chest",Power Yoga,32,"Lower body strength, core engagement",Beginner,Standing,"Power Yoga, Full Body",None
Standing Forward Fold,Uttanasana,"Hamstrings, Glutes, Erector Spinae","Hip Adductors, Calves, Shoulders",Flexibility Yoga,67,"Hamstring/lower back flexibility, calming",Beginner,Forward Fold,"Flexibility Yoga, Restorative Yoga",Block (optional)
Mountain Pose,Tadasana,"Quads, Glutes, Core",All stabilizer muscles,Power Yoga,45,"Body awareness, posture, balance",Beginner,Standing,"Power Yoga, Balance",None
Tree Pose,Vrksasana,"Hip Abductors, Hip Stabilizers, Quads","Glutes, Core, Shoulders",Power Yoga,45,"Balance, hip stability, focus",Beginner,Balance,"Power Yoga, Balance",None
Eagle Pose,Garudasana,"Hip Abductors, Hip Adductors, Core","Quads, Glutes, Shoulders",Power Yoga,25,"Hip opening, balance, focus, shoulder strength",Intermediate,Balance,"Power Yoga, Balance",None
Boat Pose,Navasana,"Rectus Abdominis, Hip Flexors, Quads","Core, Back, Shoulders",Power Yoga,22,"Core strength, hip flexor strength, balance",Intermediate,Core,"Power Yoga, Core Strength",None
Bridge Pose,Setu Bandha Sarvangasana,"Glutes, Hamstrings, Erector Spinae","Hip Flexors, Chest, Shoulders",Power Yoga,45,"Glute activation, spinal extension, core",Beginner,Backbend,"Power Yoga, Core Strength",None
Locust Pose,Salabhasana,"Erector Spinae, Glutes, Posterior Deltoids","Hamstrings, Hip Extensors, Back",Power Yoga,22,"Posterior chain strength, spinal extension",Intermediate,Backbend,"Power Yoga, Core Strength",None
Cobra Pose,Bhujangasana,"Chest, Shoulders, Erector Spinae","Core, Hip Flexors, Back",Power Yoga,22,"Chest opening, core, spinal extension",Beginner,Backbend,"Power Yoga, Flexibility",None
Sphinx Pose,Salamba Bhujangasana,"Chest, Shoulders, Core","Erector Spinae, Hip Flexors",Restorative Yoga,45,"Gentle spinal extension, chest opening",Beginner,Backbend,"Restorative Yoga, Flexibility",None
Child's Pose,Balasana,"Hamstrings, Glutes, Erector Spinae","Hip Flexors, Shoulders, Back",Restorative Yoga,120,"Recovery, hip flexibility, calming",Beginner,Restorative,"Restorative Yoga, Yin Yoga",Bolster (optional)
Pigeon Pose,Eka Pada Rajakapotasana,"Hip External Rotators, Glutes","Hip Flexors, Hamstrings, Lower Back",Yin Yoga,75,"Deep hip opening, lower back release",Intermediate,Hip Opener,"Yin Yoga, Flexibility",Block (optional)
Seated Forward Fold,Paschimottanasana,"Hamstrings, Erector Spinae, Glutes","Hip Adductors, Calves, Shoulders",Yin Yoga,75,"Hamstring/lower back flexibility, calming",Beginner,Forward Fold,"Yin Yoga, Restorative Yoga, Flexibility",Block (optional)
Half Lord of Fishes,Ardha Matsyendrasana,"Obliques, Erector Spinae, Hip Flexors","Glutes, Shoulders, Core",Flexibility Yoga,45,"Spinal rotation, hip flexibility, digestion aid",Intermediate,Twist,"Flexibility Yoga, Yin Yoga",None
Cat-Cow,Marjaryasana-Bitilasana,"Erector Spinae, Rectus Abdominis","Shoulders, Hip Flexors",Flexibility Yoga,5,"Spinal mobility, warm-up, core engagement",Beginner,Dynamic,"Power Yoga, Warm-up",None
Lizard Pose,Utthan Pristhasana,"Hip Flexors, Hip Abductors","Hamstrings, Glutes, Inner Thighs",Yin Yoga,75,Hip and hamstring opening,Intermediate,Hip Opener,"Yin Yoga, Flexibility",Block (optional)
Pyramid Pose,Parsvottanasana,"Hamstrings, Hip Adductors","Glutes, Calves, Shoulders",Flexibility Yoga,67,"Hamstring flexibility, spinal rotation",Intermediate,Forward Fold,"Flexibility Yoga, Power Yoga",Block (optional)
Supine Butterfly,Supta Baddha Konasana,"Hip Abductors, Hip Adductors, Hip Flexors","Pelvic floor, Lower Abdomen, Chest",Restorative Yoga,240,"Deep hip opening, pelvic release, chest opening",Beginner,Restorative,"Restorative Yoga, Yin Yoga","Bolster, Block"
Wide-Legged Forward Fold,Prasarita Padottanasana,"Hamstrings, Hip Adductors, Erector Spinae","Glutes, Inner Thighs, Calves",Flexibility Yoga,75,"Hamstring flexibility, hip adductor stretch",Beginner,Forward Fold,"Flexibility Yoga, Power Yoga",Block (optional)
Legs-Up-the-Wall,Viparita Karani,"Hip Flexors, Hamstrings, Core","Calves, Glutes, Lower Back",Restorative Yoga,600,"Circulation, stress relief, parasympathetic activation",Beginner,Inversion,"Restorative Yoga, Yin Yoga",Bolster (optional)
Shoulder Stand,Salamba Sarvangasana,"Shoulders, Neck, Core","Triceps, Back, Hip Flexors",Power Yoga,45,"Inversion benefits, shoulder strength, thyroid stimulation",Advanced,Inversion,"Power Yoga, Full Body","Block, Blanket (optional)"
Headstand,Sirsasana,"Core, Shoulders, Hip Flexors","Neck, Back, Arms",Power Yoga,45,"Full-body inversion, mental clarity, strength",Advanced,Inversion,"Power Yoga, Full Body",Blanket (optional)
Forearm Plank,Pincha Mayurasana prep,"Shoulders, Core, Triceps","Chest, Back, Quads",Power Yoga,45,"Shoulder stability, core strength",Intermediate,Core,"Power Yoga, Core Strength",None
Dolphin Pose,Pincha Mayurasana prep,"Shoulders, Core, Hip Flexors","Chest, Triceps, Back",Power Yoga,45,"Shoulder strength, core stability, inversion prep",Intermediate,Inversion Prep,"Power Yoga, Core Strength",None
Cow Face Pose,Gomukhasana,"Shoulders, Chest","Hip Flexors, Lats, Back",Flexibility Yoga,45,"Shoulder flexibility, chest opening",Intermediate,Shoulder Opener,"Flexibility Yoga, Power Yoga",Strap (optional)
Reclined Twist,Supta Matsyendrasana,"Obliques, Erector Spinae","Glutes, Hip Flexors, Shoulders",Restorative Yoga,90,"Spinal rotation, digestive aid, relaxation",Beginner,Twist,"Restorative Yoga, Yin Yoga",None
Reverse Warrior,Viparita Virabhadrasana,"Glutes, Quads, Obliques","Shoulders, Hip Flexors, Core",Power Yoga,45,"Side body stretch, leg strength, hip opening",Beginner,Standing,"Power Yoga, Flexibility, Full Body",None
Crescent Lunge,Anjaneyasana,"Glutes, Quads, Hip Flexors","Core, Shoulders, Hamstrings",Power Yoga,45,"Hip flexor opening, leg strength, balance",Beginner,Standing,"Power Yoga, Flexibility",None
Half Split,Ardha Hanumanasana,"Hamstrings, Hip Adductors","Glutes, Calves, Hip Flexors",Flexibility Yoga,60,"Hamstring flexibility, hip opening",Intermediate,Forward Fold,"Flexibility Yoga, Yin Yoga",Block (optional)
Twisted Lunge,Parivrtta Anjaneyasana,"Obliques, Hip Flexors, Glutes","Quads, Shoulders, Core",Power Yoga,45,"Spinal rotation, hip opening, balance",Intermediate,Twist,"Power Yoga, Flexibility",None
Happy Baby,Ananda Balasana,"Hip Flexors, Hip Adductors","Lower Back, Glutes, Hamstrings",Restorative Yoga,90,"Hip opening, lower back release, relaxation",Beginner,Restorative,"Restorative Yoga, Yin Yoga",None
