Exercise,Muscle Group
Jump Squats,Lower Body
Switch Squat Jumps,Lower Body
Kettlebell Swings,Lower Body
Alternating Jump Lunges,Lower Body
Lunge,Lower Body
Reverse Lunge,Lower Body
Lateral Jumps,Lower Body
High Knees,Lower Body
In-and-Out Squats,Lower Body
Lunge Squat Lunge,Lower Body
Lateral Lunges,Lower Body
Depth Jumps,Lower Body
Iceskater,Lower Body
360 Squat Jump,Lower Body
Walking Lunges,Lower Body
Windmill Side Lunge,Lower Body
Wall Sit,Lower Body
Triple Extension,Lower Body
Broad Jump,Lower Body
Tuck Jump,Lower Body
Split Squat Jump,Lower Body
Single Leg Hops,Lower Body
Glute Bridge,Lower Body
Lateral Box Step-Up,Lower Body
Sumo Squats,Lower Body
Squat Pulses,Lower Body
Burpees,Full Body
Mountain Climbers,Upper Body/Core
Push-Up Variations,Upper Body
Side Plank,Core
V-Sit,Core
Hollow Body Hold,Core
Plank,Core
Leopard Crawl,Upper Body/Core
Flutter Kicks,Core
Bicycle Crunches,Core
Box Jump to Step,Lower Body
Bear Crawl,Full Body
Crocodile Crawl,Full Body
Swimmer,Back
Dolphin Kick,Back
Leg Raises,Core
Rainbows,Core
Slamball Squat to Press,Full Body
Slamball Burpee,Full Body
